Protocol,Sector,Source,Year,GHG Emissions (mt CO2e)
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2008,506594.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2009,464085.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2010,497202.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2011,468863.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2012,430057.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2013,441537.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2014,434517.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2015,450710.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2016,414815.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2017,393769.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2018,405040.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2019,372140.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2005,401887.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2006,408776.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2007,372078.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2008,382537.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2009,386535.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2010,369463.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2011,279116.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2012,244802.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2013,249076.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2014,241487.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2015,256655.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2016,259974.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2017,204343.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2018,198128.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Fuel Oil,2019,168634.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2005,588322.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2006,527807.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2007,571849.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2008,573561.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2009,572857.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2010,556817.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2011,576908.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2012,504988.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2013,586381.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2014,620010.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2015,617809.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2016,533101.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2017,558681.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2018,625848.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Natural Gas,2019,601626.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2005,37574.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2006,27110.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2007,24500.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2008,22764.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2009,21020.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2010,16337.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2011,22107.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2012,16616.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2013,11753.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2014,12909.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2015,6497.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2016,8149.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2017,4867.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2018,6624.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Steam,2019,4774.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2005,27289.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2006,27946.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2007,29069.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2008,30587.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2009,29054.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2010,29136.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2011,30565.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2012,27296.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2013,30653.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2014,31145.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2015,32714.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2016,30324.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2017,28883.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2018,30763.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2019,30217.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2005,13992.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2006,14437.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2007,14969.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2008,15052.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2009,14490.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2010,14370.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2011,14740.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2012,14945.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2013,15599.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2014,15201.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2015,13588.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2016,15747.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2017,14491.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2018,13854.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2019,11434.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2005,11494.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2006,11765.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2007,11926.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2008,11403.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2009,6893.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2010,1991.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2011,2998.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2012,3410.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2013,1607.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2014,1772.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2015,1799.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2016,1864.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2017,2076.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2018,2076.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2019,6128.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2005,11208.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2006,11471.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2007,11625.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2008,11143.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2009,12027.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2010,12556.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2011,11342.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2012,10054.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2013,12559.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2014,12668.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2015,13086.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2016,9669.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2017,14566.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2018,14566.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2019,13424.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2005,6972.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2006,7136.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2007,7233.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2008,6591.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2009,11269.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2010,6158.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2011,4196.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2012,6527.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2013,7795.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2014,7343.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2015,7755.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2016,6865.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2017,8736.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2018,8736.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2019,11356.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2005,15185.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2006,15185.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2007,15185.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2008,15185.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2009,12910.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2010,12131.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2011,13358.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2012,14232.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2013,14098.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2014,14098.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2015,16322.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2016,11621.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2017,7625.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2018,6763.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2019,6128.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2005,54781.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2006,52850.00
